# id	label	requires	detector	mode	description
fish-login-shell	Fish login shell	fish	login-shell:fish	sensitive	Use Fish for this account; confirms again
fish-starship	Starship in Fish	fish,starship	contains:$CONFIG/fish/config.fish|# >>> linux-bootstrap starship >>>	managed	Add a managed config.fish initialization block
micro-developer-essentials	Micro developer essentials	micro,fzf,ctags,jq	files:$CONFIG/micro/.linux-bootstrap-developer-essentials-v1|$CONFIG/micro/plug/lsp/repo.json|$CONFIG/micro/plug/fzf/repo.json|$CONFIG/micro/plug/filemanager/repo.json|$CONFIG/micro/plug/snippets/repo.json|$CONFIG/micro/plug/autofmt/repo.json|$CONFIG/micro/plug/detectindent/repo.json|$CONFIG/micro/plug/jump/repo.json|$CONFIG/micro/plug/palettero/repo.json|$CONFIG/micro/plug/quickfix/repo.json|$CONFIG/micro/plug/editorconfig/repo.json|$CONFIG/micro/plug/runit/repo.json	managed	Complete non-modal development bundle with safe merged settings and bindings
starship-preset-nerd-font-symbols	Starship preset · Nerd Font Symbols	starship	contains:$CONFIG/starship.toml|# Generated by linux-bootstrap: nerd-font-symbols	managed	Symbols-only; backup then replace
starship-preset-catppuccin-powerline	Starship preset · Catppuccin Powerline	starship	contains:$CONFIG/starship.toml|# Generated by linux-bootstrap: catppuccin-powerline	managed	Pastel Powerline; backup then replace
starship-preset-gruvbox-rainbow	Starship preset · Gruvbox Rainbow	starship	contains:$CONFIG/starship.toml|# Generated by linux-bootstrap: gruvbox-rainbow	managed	Warm rainbow; backup then replace
starship-preset-pastel-powerline	Starship preset · Pastel Powerline	starship	contains:$CONFIG/starship.toml|# Generated by linux-bootstrap: pastel-powerline	managed	Soft segments; backup then replace
starship-preset-tokyo-night	Starship preset · Tokyo Night	starship	contains:$CONFIG/starship.toml|# Generated by linux-bootstrap: tokyo-night	managed	Dark blue theme; backup then replace
starship-preset-pure-preset	Starship preset · Pure	starship	contains:$CONFIG/starship.toml|# Generated by linux-bootstrap: pure-preset	managed	Minimal theme; backup then replace
upstream-github-auth	GitHub CLI authentication	github-cli	command:gh|auth|status|--hostname|github.com	upstream	Opens gh auth login after installation
upstream-spotify-auth	Spotify Player authentication	spotify-player	files:$CACHE/spotify-player/user_client_token.json|$CACHE/spotify-player/credentials.json	upstream	Opens upstream OAuth login; Premium required
upstream-tailscale-up	Connect Tailscale	tailscale	command:tailscale|status	upstream	Opens tailscale up with a second confirmation
